,deliverCoin,deliverPoint,groupId,leftTime,noPassNum,packageCopyId,passNum,passRate,product_id,status,submitDate,task_id
125,1280,0,10451955,0,2,23436307,18,0.8999999761581421,12714588,6,1556505833000,132661
126,0,0,10504607,0,4,23432091,16,0.800000011920929,12714588,6,1556540927000,132656
127,960,0,10504149,0,3,23432074,17,0.8500000238418579,12714588,6,1556540635000,132656
128,1600,0,10503621,0,1,23432053,19,0.949999988079071,12714588,6,1556540329000,132656
129,1600,0,10503224,0,1,23432039,19,0.949999988079071,12714588,6,1556539975000,132656
130,1600,0,10502786,0,1,23432016,19,0.949999988079071,12714588,6,1556539716000,132656
131,1280,0,10502199,0,2,23431984,18,0.8999999761581421,12714588,6,1556539385000,132656
132,0,0,10501567,0,5,23431951,15,0.75,12714588,6,1556538980000,132656
133,1280,0,10447756,0,2,23428329,18,0.8999999761581421,12714588,6,1556503169000,132656
134,1280,0,10408619,0,2,23389010,18,0.8999999761581421,12714588,6,1556429635000,132582
135,1600,0,10406275,0,0,23388881,20,1.0,12714588,6,1556428477000,132582
136,960,0,10408318,0,3,23385347,17,0.8500000238418579,12714588,6,1556429404000,132578
137,0,0,10408074,0,5,23385276,15,0.75,12714588,6,1556429276000,132578
138,960,0,10407825,0,3,23385205,17,0.8500000238418579,12714588,6,1556429138000,132578
139,1600,0,10407447,0,1,23385102,19,0.949999988079071,12714588,6,1556429009000,132578
140,1600,0,10407026,0,1,23384992,19,0.949999988079071,12714588,6,1556428805000,132578
141,1600,0,10406375,0,0,23384834,20,1.0,12714588,6,1556428602000,132578
142,1600,0,10405920,0,1,23384716,19,0.949999988079071,12714588,6,1556428259000,132578
143,1600,0,10405577,0,0,23384631,20,1.0,12714588,6,1556428105000,132578
144,1600,0,10405189,0,0,23384509,20,1.0,12714588,6,1556427963000,132578
145,960,0,10404571,0,3,23384338,17,0.8500000238418579,12714588,6,1556427797000,132578
146,1600,0,10404190,0,0,23384244,20,1.0,12714588,6,1556427535000,132578
147,0,0,10403853,0,4,23384162,16,0.800000011920929,12714588,6,1556427384000,132578
148,1600,0,10403513,0,0,23384075,20,1.0,12714588,6,1556427258000,132578
149,960,0,10403155,0,3,23383930,17,0.8500000238418579,12714588,6,1556427119000,132578
150,1600,0,10402839,0,1,23383845,19,0.949999988079071,12714588,6,1556426960000,132578
151,1600,0,10402432,0,1,23383722,19,0.949999988079071,12714588,6,1556426827000,132578
152,1600,0,10401970,0,1,23383600,19,0.949999988079071,12714588,6,1556426629000,132578
153,1600,0,10400018,0,1,23383028,19,0.949999988079071,12714588,6,1556426425000,132578
154,0,0,10398884,0,4,23382700,16,0.800000011920929,12714588,6,1556425046000,132578
155,960,0,10398083,0,3,23376556,17,0.8500000238418579,12714588,6,1556423986000,132566
